car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine_cc,Seats,company_name,car_prices_in_rupee
388,45423,4,1,2,2016,1591,5,8,69900
465,52481,4,0,2,2016,1197,5,9,90000
816,22915,4,1,1,2017,1197,5,18,45300
1420,72123,4,1,1,2017,1197,5,18,60100
1839,37965,4,1,1,2017,1197,5,9,57500
744,27651,4,1,1,2018,1199,5,9,53000
902,92771,4,1,1,2016,1591,5,8,49500
1615,51956,4,1,1,2018,1198,5,9,102800
931,34048,4,1,1,2017,2993,5,17,39900
26,47000,1,0,1,2017,1968,5,1,635000
1122,60000,1,0,3,2014,1950,5,0,140000
713,43000,1,0,1,2019,1591,5,20,477500
466,58596,4,1,1,2017,2967,5,9,81100
1141,70000,1,0,1,2017,1248,7,0,485000
346,69000,1,1,1,2016,1197,5,18,67500
1817,50152,4,1,1,2011,1461,5,9,22800
498,62164,1,1,1,2014,1591,5,26,51400
466,49929,4,1,1,2017,1197,5,9,82000
814,60393,4,1,1,2017,1598,5,18,49100
1163,46281,4,0,1,2016,1199,5,27,58800
902,53201,4,1,1,2017,1798,5,8,55300
442,80056,4,1,1,2015,1197,5,29,71000
770,76175,4,1,1,2013,1497,5,9,32000
387,51493,4,1,1,2015,1197,5,8,60100
1420,63141,4,1,1,2015,1248,5,18,53200
204,37057,1,1,2,2017,1798,5,18,65100
444,60865,4,1,1,2015,2179,5,29,85200
1747,45407,1,1,2,2018,2179,7,17,111000
1743,52652,1,1,1,2019,1497,7,17,118300
1727,42923,1,1,1,2019,1591,5,17,106000
469,56052,4,1,1,2017,1396,5,9,92000
1851,42923,1,1,1,2017,1591,5,9,65100
1614,32733,4,1,2,2018,1086,5,9,84400
1275,62207,4,1,1,2013,1197,5,9,21100
1832,48352,4,1,2,2017,1199,5,9,60300
900,57080,4,0,1,2016,1373,5,8,60000
348,43168,4,1,1,2016,1248,5,18,63000
1235,69517,1,1,1,2017,1197,5,18,82300
200,54166,4,0,1,2016,1399,5,18,61800
675,67000,1,1,1,2014,1197,5,7,28500
1416,21000,4,0,1,2012,998,5,18,42500
